  kx         ky         kz
  0.351324   2.336520   -3.718620  
  0.024628   2.574400   -3.718620  
  -0.024628   2.574400   -3.718620  
  -0.351324   2.336520   -3.718620  
  -0.556080   2.103508   -3.718620  
  -0.744575   1.885445   -3.718620  
  -0.927855   1.679808   -3.718620  
  -1.110315   1.483808   -3.718620  
  -1.294806   1.294806   -3.718620  
  -1.294806   1.294806   -3.718620  
  -1.483808   1.110315   -3.718620  
  -1.679808   0.927855   -3.718620  
  -1.885445   0.744575   -3.718620  
  -2.103508   0.556080   -3.718620  
  -2.336520   0.351324   -3.718620  
  -2.574400   0.024628   -3.718620  
  -2.574400   -0.024628   -3.718620  
  -2.336520   -0.351324   -3.718620  
  -2.103508   -0.556080   -3.718620  
  -1.885445   -0.744575   -3.718620  
  -1.679808   -0.927855   -3.718620  
  -1.483808   -1.110315   -3.718620  
  -1.294806   -1.294806   -3.718620  
  -1.294806   -1.294806   -3.718620  
  -1.110315   -1.483808   -3.718620  
  -0.927855   -1.679808   -3.718620  
  -0.744575   -1.885445   -3.718620  
  -0.556080   -2.103508   -3.718620  
  -0.351324   -2.336520   -3.718620  
  -0.024628   -2.574400   -3.718620  
  0.024628   -2.574400   -3.718620  
  0.351324   -2.336520   -3.718620  
  0.556080   -2.103508   -3.718620  
  0.744575   -1.885445   -3.718620  
  0.927855   -1.679808   -3.718620  
  1.110315   -1.483808   -3.718620  
  1.294806   -1.294806   -3.718620  
  1.294806   -1.294806   -3.718620  
  1.483808   -1.110315   -3.718620  
  1.679808   -0.927855   -3.718620  
  1.885445   -0.744575   -3.718620  
  2.103508   -0.556080   -3.718620  
  2.336520   -0.351324   -3.718620  
  2.574400   -0.024628   -3.718620  
  2.574400   0.024628   -3.718620  


  2.605096   0.016191   -3.462163  
  2.360811   0.348327   -3.462163  
  2.121803   0.551848   -3.462163  
  1.898240   0.739860   -3.462163  
  1.687637   0.923668   -3.462163  
  1.487326   1.107714   -3.462163  
  1.294806   1.294806   -3.462163  
  1.294806   1.294806   -3.462163  
  1.107714   1.487326   -3.462163  
  0.923668   1.687637   -3.462163  
  0.739860   1.898240   -3.462163  
  0.551848   2.121803   -3.462163  
  0.348327   2.360811   -3.462163  
  0.016191   2.605096   -3.462163  
  -0.016191   2.605096   -3.462163  
  -0.348327   2.360811   -3.462163  
  -0.551848   2.121803   -3.462163  
  -0.739860   1.898240   -3.462163  
  -0.923668   1.687637   -3.462163  
  -1.107714   1.487326   -3.462163  
  -1.294806   1.294806   -3.462163  
  -1.294806   1.294806   -3.462163  
  -1.487326   1.107714   -3.462163  
  -1.687637   0.923668   -3.462163  
  -1.898240   0.739860   -3.462163  
  -2.121803   0.551848   -3.462163  
  -2.360811   0.348327   -3.462163  
  -2.605096   0.016191   -3.462163  
  -2.605096   -0.016191   -3.462163  
  -2.360811   -0.348327   -3.462163  
  -2.121803   -0.551848   -3.462163  
  -1.898240   -0.739860   -3.462163  
  -1.687637   -0.923668   -3.462163  
  -1.487326   -1.107714   -3.462163  
  -1.294806   -1.294806   -3.462163  
  -1.294806   -1.294806   -3.462163  
  -1.107714   -1.487326   -3.462163  
  -0.923668   -1.687637   -3.462163  
  -0.739860   -1.898240   -3.462163  
  -0.551848   -2.121803   -3.462163  
  -0.348327   -2.360811   -3.462163  
  -0.016191   -2.605096   -3.462163  
  0.016191   -2.605096   -3.462163  
  0.348327   -2.360811   -3.462163  
  0.551848   -2.121803   -3.462163  
  0.739860   -1.898240   -3.462163  
  0.923668   -1.687637   -3.462163  
  1.107714   -1.487326   -3.462163  
  1.294806   -1.294806   -3.462163  
  1.294806   -1.294806   -3.462163  
  1.487326   -1.107714   -3.462163  
  1.687637   -0.923668   -3.462163  
  1.898240   -0.739860   -3.462163  
  2.121803   -0.551848   -3.462163  
  2.360811   -0.348327   -3.462163  
  2.605096   -0.016191   -3.462163  
  2.605096   0.016191   -3.462163  


  2.635730   0.006975   -3.205707  
  2.385233   0.346050   -3.205707  
  2.140282   0.548193   -3.205707  
  1.911199   0.735500   -3.205707  
  1.695562   0.919639   -3.205707  
  1.490873   1.105151   -3.205707  
  1.294806   1.294806   -3.205707  
  1.294806   1.294806   -3.205707  
  1.105151   1.490873   -3.205707  
  0.919639   1.695562   -3.205707  
  0.735500   1.911199   -3.205707  
  0.548193   2.140282   -3.205707  
  0.346050   2.385233   -3.205707  
  0.006975   2.635730   -3.205707  
  -0.006975   2.635730   -3.205707  
  -0.346050   2.385233   -3.205707  
  -0.548193   2.140282   -3.205707  
  -0.735500   1.911199   -3.205707  
  -0.919639   1.695562   -3.205707  
  -1.105151   1.490873   -3.205707  
  -1.294806   1.294806   -3.205707  
  -1.294806   1.294806   -3.205707  
  -1.490873   1.105151   -3.205707  
  -1.695562   0.919639   -3.205707  
  -1.911199   0.735500   -3.205707  
  -2.140282   0.548193   -3.205707  
  -2.385233   0.346050   -3.205707  
  -2.635730   0.006975   -3.205707  
  -2.635730   -0.006975   -3.205707  
  -2.385233   -0.346050   -3.205707  
  -2.140282   -0.548193   -3.205707  
  -1.911199   -0.735500   -3.205707  
  -1.695562   -0.919639   -3.205707  
  -1.490873   -1.105151   -3.205707  
  -1.294806   -1.294806   -3.205707  
  -1.294806   -1.294806   -3.205707  
  -1.105151   -1.490873   -3.205707  
  -0.919639   -1.695562   -3.205707  
  -0.735500   -1.911199   -3.205707  
  -0.548193   -2.140282   -3.205707  
  -0.346050   -2.385233   -3.205707  
  -0.006975   -2.635730   -3.205707  
  0.006975   -2.635730   -3.205707  
  0.346050   -2.385233   -3.205707  
  0.548193   -2.140282   -3.205707  
  0.735500   -1.911199   -3.205707  
  0.919639   -1.695562   -3.205707  
  1.105151   -1.490873   -3.205707  
